Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Instinct,,ADC,57,54.4%,4.3,3.6,2.2,6,8.7,413,64.2%,24.6,660,1.1,0.41,0.28,0.09,-169,-8,-183,21.1%,7%,1,5
Ivan1,,ADC,13,7.7%,1.9,4.2,3.8,3.1,8.7,420,59.1%,26.1,602,0.79,0.33,0.19,0.07,53,5,-218,30.8%,0%,1,-
IvanD,,ADC,24,16.7%,2.1,3.8,3.3,3.1,8.6,405,58.9%,26.6,563,01.02,0.41,0.25,0.11,-217,1,74,8.3%,16.7%,0,3
JaVa,,ADC,13,23.1%,4.1,4.5,2.5,6,8.5,415,71.5%,26.2,722,01.09,0.47,0.23,0.13,-50,10,-21,7.7%,7.7%,0,2
JackeyLove,,ADC,129,69.8%,4.6,4.3,2.3,6.1,8.6,445,69.4%,26.6,705,1.47,0.48,0.45,0.14,94,0,60,1.6%,0%,0,2
Jackspektra,,ADC,76,69.7%,5.1,6.1,2.4,6.1,9.3,476,73.3%,30,763,1.22,0.4,0.36,0.04,508,4,171,35.5%,3.9%,1,13
Jalleba,,ADC,14,35.7%,2.5,4.6,3.5,4.3,8.4,421,66.7%,30,678,0.78,0.29,0.23,0.03,-79,1,148,50%,7.1%,0,3
Jeskla,,ADC,26,42.3%,4.4,4,2.1,5.1,8.8,421,68.9%,29.2,745,1.19,0.55,0.25,0.18,70,6,136,23.1%,3.8%,1,2
Jeyrus,,ADC,18,44.4%,5.2,4.6,2.3,7.4,8.5,418,72.1%,23.2,576,1.19,0.37,0.36,0.13,278,6,198,16.7%,5.6%,0,-
Jezu,,ADC,78,53.8%,5.1,5,1.9,4.9,9.9,458,70.7%,29,739,1.26,0.48,0.28,0.18,205,2,105,23.1%,9%,0,10
JimieN,,ADC,1,0%,3.5,2,2,5,11.2,458,77.8%,23.5,551,1.88,0.42,0.61,0.16,326,9,2205,0%,0%,0,-
Jiwoo,,ADC,85,31.8%,2.7,3.3,2.6,3.6,9,412,68%,29.4,660,1.36,0.52,0.39,0.13,-246,-4,-110,21.2%,8.2%,0,12
Jocke,,ADC,14,7.1%,1.7,2.6,3.4,3,7.6,375,69.6%,26.1,524,0.73,0.23,0.19,0.06,-206,-11,-438,14.3%,21.4%,0,1
Jopa,,ADC,78,60.3%,5.3,5.2,2.2,6.8,9.3,451,75.9%,28.3,736,01.08,0.4,0.27,0.13,174,3,49,37.2%,10.3%,0,11
Jujutw0,,ADC,55,52.7%,5,5,2.1,5.4,9,437,68%,27.8,709,01.01,0.4,0.27,0.07,257,7,134,40%,7.3%,0,9
Juliera,,ADC,30,33.3%,3.7,3.6,2.4,5.2,8.6,413,72.2%,27.9,626,1.38,0.52,0.32,0.09,-151,-9,-217,30%,10%,0,7
K1ller,,ADC,4,0%,2.1,3.5,4.3,5.3,8.9,416,57%,30,749,0.84,0.25,0.29,0.1,-825,-5,-660,25%,25%,0,-
KERUSHA,,ADC,46,56.5%,3.8,4.9,3,6.5,7.8,422,62.8%,24.3,691,1.14,0.44,0.25,0.08,-310,-7,-141,13%,8.7%,0,8
Kaabs,,ADC,6,33.3%,1.3,2.7,3.7,2.2,8.7,393,58.5%,28,564,0.93,0.34,0.29,0.03,-1043,-13,-461,16.7%,0%,0,-
Kaba47,,ADC,7,28.6%,1.8,2.9,3.9,4.1,8.2,405,74.8%,26.8,592,0.84,0.33,0.24,0.03,-467,-6,-323,28.6%,28.6%,0,-
Kaii1,,ADC,13,38.5%,3.3,3.6,2.8,5.5,8.3,405,56.7%,29.2,610,1.15,0.4,0.29,0.08,66,0,-84,23.1%,15.4%,0,2
Kakarot1,,ADC,24,54.2%,3.9,4.8,2.7,5.7,8.6,430,62.9%,20.5,543,0.74,0.33,0.16,0.08,-583,-9,-216,12.5%,12.5%,0,5
Kaori,,ADC,65,56.9%,4.1,5.9,2.7,5.4,9.4,465,73.1%,28.4,706,1.15,0.43,0.31,0.12,150,0,-7,26.2%,4.6%,2,16
Karbey,,ADC,1,0%,3.5,0,2,7,6.9,320,100%,12.8,170,1.22,0.49,0.17,0.21,-1404,-49,314,100%,0%,0,-
Kasi,,ADC,12,41.7%,6.1,5.3,1.8,5.8,8.7,415,64.1%,24.1,616,01.04,0.4,0.26,0.07,246,-3,-23,41.7%,8.3%,0,5
Katsurii,,ADC,31,25.8%,3.4,4.8,2.9,5,9.2,440,62.2%,29.2,708,01.02,0.38,0.26,0.1,418,15,159,16.1%,6.5%,0,7
Kazing,,ADC,18,11.1%,2.5,3.3,3.2,4.8,8.7,401,66.6%,23.9,564,01.09,0.37,0.3,0.06,-376,1,130,11.1%,5.6%,0,2
Keduii,,ADC,89,77.5%,6.9,5.8,1.9,7.6,9.8,480,71%,25.8,755,1.36,0.42,0.37,0.11,209,4,205,31.5%,6.7%,1,15
Kehvo,,ADC,44,47.7%,3.8,4,2.6,6,8.6,416,69.3%,28.7,679,0.87,0.34,0.2,0.05,1,6,50,15.9%,4.5%,0,8
Kenal,,ADC,55,52.7%,3.5,4.7,2.9,5.5,8.6,435,71.8%,28.9,713,01.03,0.41,0.28,0.09,192,9,99,27.3%,10.9%,0,4
Kepler,,ADC,22,40.9%,2.6,3.5,3.5,5.3,8.2,409,66.2%,27,709,1.36,0.39,0.42,0.1,-620,-,-,-,-,-,-
Kindless,,ADC,5,0%,2.1,2,3,4.4,8.6,374,62.2%,23.2,455,1.13,0.44,0.23,0.17,94,-7,-256,20%,20%,0,-
Kisuke,,ADC,16,25%,3.2,4.1,2.8,5,8.1,398,65.1%,25.9,546,0.83,0.33,0.16,0.08,-175,-7,-342,31.3%,0%,0,3
Kneza,,ADC,50,52%,3.6,3.1,2.4,5.5,9.2,427,62.6%,27.8,649,1.28,0.41,0.35,0.1,96,1,39,28%,8%,0,2
Kojima,,ADC,18,38.9%,3.3,2.8,2.3,4.8,8.5,400,63.8%,25.6,557,1.32,0.48,0.42,0.18,-246,2,-39,27.8%,0%,0,-
Kont,,ADC,44,47.7%,3.7,4.8,2.9,6.1,8.9,436,65.2%,26.1,644,0.78,0.27,0.2,0.03,214,2,8,22.7%,4.5%,1,4
Kostakis4,,ADC,2,0%,1.6,3,3.5,2.5,8.4,382,54.5%,28.6,635,0.66,0.34,0.14,0.02,-107,-6,-392,0%,0%,0,-
Kritias,,ADC,4,50%,2.1,3.8,3.5,3.5,7,392,56.8%,24.9,628,0.62,0.26,0.18,0.01,-455,0,-870,25%,25%,0,-
Kz,,ADC,19,15.8%,2.2,2.8,3.1,3.9,7.7,367,71.7%,26.6,550,1.25,0.42,0.38,0.11,-681,-14,-401,36.8%,21.1%,0,2
LIMITLESS,,ADC,18,5.6%,1.9,3.5,4.1,4.2,6.9,379,68.8%,26.5,632,0.98,0.44,0.22,0.09,-391,-26,-525,22.2%,5.6%,0,2
LP,,ADC,13,38.5%,2.3,1.7,2.9,5.1,8.8,398,57.9%,21.5,471,1.13,0.51,0.34,0.17,-568,-,-,-,-,-,-
Lac,,ADC,14,57.1%,4.1,4.6,2.6,6.3,8.7,425,68.3%,26,653,01.08,0.43,0.29,0.18,-170,7,392,7.1%,0%,0,1
Leandrinn,,ADC,41,41.5%,1.7,4.2,4.8,4.1,8.3,414,59%,25.5,638,0.85,0.3,0.23,0.06,-99,2,-17,24.4%,19.5%,0,10
Leaper,,ADC,44,47.7%,2.9,2.9,2.3,4,9.6,423,66.8%,26.5,639,1.11,0.35,0.35,0.09,-508,-6,-228,13.6%,9.1%,1,4
Leave,,ADC,41,34.1%,2.9,3.6,2.9,4.6,9.3,432,66.8%,28.2,655,1.41,0.45,0.45,0.11,-64,-,-,-,-,-,-
Legolas,,ADC,63,46%,4.1,6.3,2.9,5.7,9.2,463,72.3%,29,774,0.97,0.33,0.27,0.08,4,-2,167,36.5%,14.3%,0,13
Lens,,ADC,67,52.2%,3.4,4.4,2.7,5,8.8,422,59.2%,23,589,0.88,0.3,0.26,0.06,146,8,266,14.9%,6%,1,15
Leo,,ADC,82,68.3%,7,5.5,1.8,7.4,9,465,70.1%,27.3,699,1.64,0.61,0.35,0.18,60,-6,-121,25.6%,3.7%,1,7
Levitate,,ADC,39,48.7%,4.5,4.5,2.4,6.2,9.2,444,67.2%,26.7,675,1.18,0.4,0.35,0.12,2,1,-92,10.3%,7.7%,0,2
