Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Sensy,,JUNGLE,26,57.7%,5.3,4.4,2.6,9.6,5.6,366,73.8%,18.3,487,1.33,0.35,0.27,0.3,200,-2,-126,34.6%,3.8%,0,4
Sentio,,JUNGLE,2,0%,1.9,3.5,5.5,7,5.2,326,89.5%,13.4,332,01.11,0.17,0.34,0.09,334,8,566,0%,100%,0,-
Seriousblak,,JUNGLE,11,27.3%,1.7,2.9,5,5.5,5.4,327,66.8%,21.9,491,1.19,0.27,0.26,0.22,-334,-6,-394,54.5%,0%,0,-
Shanks2,,JUNGLE,1,100%,3.7,1,3,10,7.1,375,78.6%,16,281,1.47,0.14,0.44,0.1,428,11,496,100%,0%,0,-
Sharvel,,JUNGLE,121,65.3%,5,2.7,2.2,8.3,5.9,346,73.2%,14,357,1.5,0.36,0.37,0.27,48,-1,-1,30.6%,5%,0,10
ShazQ,,JUNGLE,52,57.7%,4.1,2.4,2.4,7.6,5.9,335,71%,15.1,382,1.3,0.32,0.27,0.24,85,1,113,34.6%,5.8%,0,4
Sheiden,,JUNGLE,71,69%,4.4,3.9,3,9.2,6.4,375,70.3%,15.2,417,1.31,0.34,0.28,0.26,135,-2,56,40.8%,11.3%,0,10
Sheo,,JUNGLE,81,56.8%,4.6,2.3,2.2,7.7,6.1,353,71.9%,16.6,380,1.47,0.35,0.35,0.19,65,1,6,42%,11.1%,0,8
Shernfire,,JUNGLE,63,73%,3.7,4.1,3.5,8.9,7,404,66.6%,21.5,666,1.44,0.37,0.3,0.25,635,19,758,28.6%,9.5%,0,13
Shift,,JUNGLE,14,21.4%,1.5,3.1,5.6,5.1,5.2,327,71.8%,15.8,334,0.97,0.22,0.2,0.22,-414,-9,-358,14.3%,35.7%,0,3
Shini,,JUNGLE,27,40.7%,2.2,1.5,3.5,6.3,6.1,325,74.8%,16.1,365,1.46,0.28,0.43,0.22,-14,0,-8,33.3%,14.8%,0,2
Shlatan,,JUNGLE,74,55.4%,3.3,3.6,3.6,8.3,6,362,70.1%,16.4,449,1.33,0.42,0.23,0.29,338,3,206,50%,9.5%,0,11
Shrimp,,JUNGLE,24,54.2%,3.2,3.2,3.8,8.9,6.9,376,73.8%,18.2,478,1.65,0.43,0.43,0.18,390,12,676,37.5%,12.5%,0,-
SiddyWiddy,,JUNGLE,6,33.3%,3.1,3.3,4.3,10,5.2,331,72.9%,17.7,498,1.46,0.53,0.25,0.42,-271,-2,-190,33.3%,0%,0,1
Skeanz,,JUNGLE,73,58.9%,4.2,3.2,2.8,8.6,6,356,71.6%,16.1,411,1.29,0.31,0.26,0.27,220,2,59,23.3%,5.5%,0,7
SkewMond,,JUNGLE,89,77.5%,6.5,3.4,2.1,10.5,6,370,73.7%,16.3,486,1.47,0.33,0.3,0.27,236,7,265,44.9%,7.9%,0,11
Skude,,JUNGLE,40,50%,3,2,3.6,8.8,5.6,336,70.7%,13.3,359,1.22,0.31,0.24,0.2,-71,-5,-44,32.5%,20%,0,5
SkyBart,,JUNGLE,2,50%,5.2,3,2.5,10,5.8,358,94.7%,19.6,422,1.55,0.52,0.29,0.24,283,4,193,0%,0%,0,1
Slice,,JUNGLE,13,15.4%,1.7,2.6,4.5,4.8,5.9,332,84.3%,16.9,358,1.48,0.44,0.32,0.24,-114,1,-76,30.8%,38.5%,0,-
Sn1lle,,JUNGLE,43,60.5%,4.3,2.4,3,10.6,5.5,345,75.2%,16.1,449,1.5,0.34,0.33,0.24,-132,-3,-100,34.9%,9.3%,0,1
SoCool,,JUNGLE,5,40%,2.3,1.6,4.8,9.6,4.4,295,82.2%,10.4,240,1.32,0.34,0.35,0.27,-461,-12,-373,20%,0%,0,-
Solded,,JUNGLE,2,0%,0.7,0,5.5,4,4.7,268,48.5%,9.6,176,0.77,0.25,0.08,0.22,-1066,-30,-1259,0%,50%,0,-
SolidSnake,,JUNGLE,28,17.9%,1.8,1.1,3.1,4.5,5.2,297,63.7%,9.5,194,1.38,0.38,0.37,0.34,-52,1,-157,21.4%,10.7%,0,3
Sorn,,JUNGLE,28,39.3%,2.7,2,4,8.8,5.8,338,75.5%,15,373,1.73,0.57,0.42,0.45,-108,1,26,35.7%,10.7%,0,1
Sounda,,JUNGLE,83,51.8%,2.6,1.9,3,6.1,5.6,325,64.4%,12.5,292,1.82,0.48,0.49,0.38,-69,-6,-180,37.3%,9.6%,0,2
Soweto,,JUNGLE,18,33.3%,2.2,2.1,4.4,7.7,5.4,326,75.2%,13.3,294,1.41,0.37,0.35,0.31,95,1,16,27.8%,5.6%,0,5
Speedy,,JUNGLE,12,66.7%,6.2,3.2,2,9.3,5.9,351,76.7%,18.3,454,1.69,0.49,0.36,0.26,-83,0,10,41.7%,8.3%,0,2
Spica,,JUNGLE,30,43.3%,3.6,1.6,2.6,7.6,6.5,343,76.9%,17.1,416,1.58,0.39,0.41,0.23,-126,2,38,13.3%,3.3%,0,2
Sponge,,JUNGLE,83,25.3%,1.9,1.5,3.4,4.8,5.8,314,73%,14.5,308,1.5,0.4,0.39,0.32,-81,-1,-133,34.9%,9.6%,0,4
Spooky,,JUNGLE,67,74.6%,4.8,3,2.4,8.5,6.2,368,72.3%,17.1,431,1.6,0.39,0.39,0.21,382,7,344,28.4%,13.4%,0,12
Spot,,JUNGLE,20,0%,1.3,2.1,5.5,5,5.5,318,66%,14.7,286,1.38,0.37,0.34,0.29,-20,-2,-102,45%,15%,0,2
Ssaiko,,JUNGLE,2,0%,1,1,4,3,4.2,274,62.5%,11.5,261,1.3,0.29,0.3,0.22,-1054,-24,-1070,0%,0%,0,-
Stalken,,JUNGLE,25,56%,5,4.3,2.5,8,6.8,382,77.4%,23.1,638,1.12,0.19,0.27,0.15,537,12,495,28%,0%,0,4
Stanpelly,,JUNGLE,22,50%,3.5,2.6,3,8,5.6,340,63.8%,12.3,296,1.4,0.35,0.29,0.26,78,2,170,40.9%,4.5%,0,3
Steal,,JUNGLE,81,69.1%,4,3.1,3,8.9,5.6,353,72.6%,16.2,441,1.7,0.52,0.4,0.39,-115,-8,-278,35.8%,11.1%,0,2
Stefan,,JUNGLE,50,56%,4.9,2.9,2.3,8.2,6.3,359,70.1%,18,461,1.42,0.28,0.36,0.17,120,3,139,32%,10%,1,3
Stergios,,JUNGLE,1,0%,1,0,4,4,4.5,257,36.4%,7.9,157,1.46,0.58,0.23,0.26,-1207,4,23,0%,0%,0,-
StineR,,JUNGLE,53,47.2%,3.1,1.9,3.3,8.2,5.7,329,73.1%,15.4,394,1.56,0.38,0.36,0.32,-39,-1,-1,37.7%,3.8%,0,9
Sting,,JUNGLE,36,47.2%,2.9,2.5,3.2,7,6.2,346,71.3%,19.4,443,1.54,0.34,0.44,0.25,-25,4,144,30.6%,22.2%,0,3
Stomaged,,JUNGLE,5,20%,1.5,0.2,4.8,6.8,4.6,276,75.6%,11.3,206,1.18,0.26,0.32,0.23,-877,-13,-507,40%,0%,0,-
Stormax,,JUNGLE,61,62.3%,5.3,3,2.3,9,5.6,356,69.4%,17.3,444,1.31,0.3,0.28,0.24,152,-4,-84,39.3%,13.1%,0,13
Sultan1,,JUNGLE,2,0%,1.4,5,5.5,2.5,6.4,405,67.5%,27.7,636,0.75,0.08,0.15,0.06,234,-16,-530,0%,0%,0,3
