Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
kaylem,,TOP,40,57.5%,3.7,2.4,2.2,5.7,7.9,381,53.2%,18.9,471,01.01,0.4,0.17,0.14,-42,0,-145,12.5%,10%,0,10
kingen,,TOP,116,53.4%,2.9,2.4,2.5,4.9,8,385,53%,22.1,519,1.15,0.41,0.23,0.22,-41,0,69,22.4%,9.5%,0,25
klowny,,TOP,59,59.3%,2.7,2.6,2.9,5.5,8,394,46.2%,20.3,516,1,0.41,0.13,0.12,123,5,153,11.9%,11.9%,0,21
niN,,TOP,23,56.5%,2.1,2.7,3.7,5.1,7.3,369,50.7%,20.4,474,01.03,0.34,0.18,0.16,-899,-14,-493,17.4%,34.8%,0,9
pr1me,,TOP,31,64.5%,2.7,4.5,3.3,4.5,8.5,434,49.6%,23.7,616,0.74,0.34,0.09,0.03,245,4,58,29%,6.5%,0,29
prey,,TOP,8,62.5%,4.7,5.3,2.5,6.5,7.1,456,55.3%,25.4,758,0.68,0.34,0.08,0.04,237,-16,-399,37.5%,25%,0,6
r0bbed,,TOP,14,42.9%,2.3,2.4,2.9,4.4,8.3,407,44.4%,25.9,578,0.86,0.34,0.12,0.04,-267,-1,-339,7.1%,7.1%,0,8
robocop,,TOP,67,74.6%,4.4,2.7,1.8,5.4,8.2,401,50.9%,19.8,490,1.11,0.45,0.15,0.16,233,4,248,10.4%,9%,0,15
shanji,,TOP,124,50.8%,2.8,3,2.8,4.7,8,389,56.2%,20.9,539,0.95,0.33,0.18,0.16,198,-,-,-,-,-,-
sheer,,TOP,52,61.5%,3.7,2.8,2.3,5.9,7.9,391,57.6%,19.2,476,0.96,0.33,0.17,0.15,242,-,-,-,-,-,-
tol2,,TOP,40,17.5%,1.4,1.4,3.2,3.2,7.2,346,48.7%,20.3,433,01.02,0.46,0.15,0.28,-249,-9,-350,7.5%,10%,0,7
v1SaG3,,TOP,14,7.1%,1.1,1.9,3.9,2.2,7.5,351,37.5%,24,513,0.86,0.39,0.09,0.1,-12,4,190,0%,28.6%,0,5
xiaohuangmao,,TOP,3,33.3%,2.4,3,2.7,3.3,7.9,380,52.5%,24.6,427,-,-,-,-,-,-,-,-,-,-,-
xyno,,TOP,53,47.2%,2.5,3.3,3.2,4.8,8.1,410,58.2%,22,557,1.3,0.42,0.28,0.24,161,-1,-216,15.1%,7.5%,0,15
yeat,,TOP,2,50%,2.2,2.5,3,4,7.7,477,36.9%,29.2,1089,01.09,0.42,0.18,0.18,2097,26,1136,0%,0%,0,2
zorenous,,TOP,54,55.6%,3,2.9,3,6.1,7.9,403,49.1%,21.2,580,1.1,0.4,0.18,0.13,331,8,223,16.7%,13%,0,36
zs,,TOP,3,33.3%,1.9,2,3,3.7,6.9,352,50.4%,14.3,334,-,-,-,-,-,-,-,-,-,-,-
zynts,,TOP,34,44.1%,2.5,3.1,3,4.3,8.2,404,49.6%,22.3,582,1.13,0.46,0.18,0.21,561,11,396,23.5%,5.9%,0,16
