Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Ivok,,MID,21,38.1%,2.1,4.8,4.1,3.9,8.9,447,59.3%,25.7,677,0.88,0.36,0.15,0.05,-526,-9,-386,23.8%,9.5%,0,7
Ivory,,MID,55,40%,3.5,2.7,2.4,5.5,9,405,64.5%,27.1,576,1.18,0.41,0.25,0.22,-116,-5,-30,21.8%,9.1%,0,7
J0J0C,,MID,12,8.3%,2,5.2,4.2,3,8.8,450,59.9%,26.9,705,0.75,0.3,0.12,0.04,-127,-7,40,41.7%,8.3%,0,7
Jackies,,MID,48,33.3%,2.8,3.6,2.7,4.1,9.1,418,70.2%,29.6,639,01.09,0.39,0.24,0.14,-272,-7,-90,27.1%,10.4%,0,9
Jane,,MID,29,41.4%,4.1,4,2.7,6.9,8.6,416,68.6%,27.4,668,1.24,0.43,0.3,0.22,417,5,50,17.2%,10.3%,0,10
Jann,,MID,7,14.3%,1.1,1.4,3.1,2,8.9,377,50.9%,23.8,373,0.57,0.35,0.08,0.03,-442,1,82,14.3%,14.3%,0,3
Javier,,MID,45,42.2%,3.9,3,2.3,6,8.5,404,68.8%,27.1,600,1.21,0.49,0.25,0.21,-76,-5,-80,13.3%,4.4%,0,2
Jensen,,MID,63,50.8%,3.7,3.8,2.5,5.5,9.3,425,66.2%,26.5,656,0.98,0.35,0.21,0.12,-102,-1,-75,7.9%,9.5%,0,6
Jett,,MID,32,34.4%,2.7,4.3,3.5,5.2,9.3,451,73.9%,31.3,744,0.99,0.26,0.29,0.14,280,1,-99,28.1%,12.5%,0,3
JimieN,,MID,66,59.1%,3.7,3.4,2.4,5.4,9.1,426,62.8%,26.6,712,1.36,0.43,0.39,0.16,32,0,35,13.6%,4.5%,0,19
Jimsnop,,MID,28,35.7%,2.7,3.1,2.9,4.9,8.3,385,65.2%,25.2,567,0.99,0.34,0.21,0.05,-408,-8,-313,7.1%,10.7%,0,4
Jool,,MID,40,17.5%,2.3,2.9,2.9,3.7,9,405,69.2%,28.4,602,1.13,0.49,0.22,0.21,-248,-5,-207,15%,7.5%,0,16
KURBAX,,MID,5,0%,1.8,2.8,3.2,3,7.6,366,58.6%,23.7,522,0.71,0.29,0.13,0.07,-779,-14,-283,0%,20%,0,-
Kaine,,MID,24,54.2%,3.8,4.1,2.8,6.8,9.1,444,61.8%,30.4,792,0.97,0.36,0.18,0.1,313,6,253,20.8%,12.5%,0,17
Kakkun,,MID,27,33.3%,2.7,3.3,3.3,5.7,8.2,390,66.8%,30.4,652,0.91,0.34,0.19,0.17,-239,-6,-232,7.4%,7.4%,0,4
Kamikaze,,MID,1,0%,3.4,4,5,13,7.4,373,65.4%,16.2,432,0.99,0.39,0.07,0.15,-919,7,-123,0%,0%,0,-
Kamiloo,,MID,61,63.9%,3.8,5.3,3.4,7.9,9,461,64.6%,28.3,839,1.2,0.43,0.22,0.18,292,4,93,16.4%,9.8%,0,43
Karis,,MID,79,25.3%,2.7,2.7,2.6,4.1,9.3,409,67.4%,27.3,594,1.12,0.32,0.3,0.21,-153,-1,-47,19%,10.1%,0,16
Kati,,MID,80,65%,4.3,4.9,2.6,6.2,9.9,472,65.2%,27.1,758,1.4,0.42,0.4,0.17,470,10,231,17.5%,11.3%,0,31
Katquese,,MID,12,25%,2.5,2.8,3.2,5.3,7.7,366,57.8%,26.1,572,0.86,0.38,0.17,0.07,-264,-6,-287,16.7%,16.7%,0,-
Kaymin,,MID,42,11.9%,1.7,2.6,4.3,4.8,8.1,378,62.3%,27.7,650,0.87,0.41,0.16,0.14,-530,-12,-446,7.1%,16.7%,0,5
Kaze,,MID,72,55.6%,3.4,4.6,3.5,7.1,8,413,67.8%,27.5,711,1.16,0.45,0.23,0.15,-119,-6,-146,27.8%,16.7%,0,19
Keine,,MID,31,74.2%,5.8,4.8,2.1,7.1,9.4,463,65.8%,25.8,780,1.44,0.48,0.36,0.2,471,8,260,32.3%,3.2%,0,10
Kiefer,,MID,28,17.9%,2.3,2.6,2.5,3.2,8.6,387,67.1%,28.4,562,1.14,0.42,0.26,0.16,-20,-2,-25,14.3%,7.1%,0,-
Kina,,MID,39,38.5%,2.7,3.2,3.1,4.9,8.7,405,64.6%,29.4,689,0.91,0.35,0.17,0.07,-80,-2,36,10.3%,5.1%,0,15
Kisee,,MID,78,67.9%,4.8,4.7,2.4,6.6,9.3,451,67.8%,27.2,747,1.22,0.44,0.27,0.12,315,10,205,19.2%,6.4%,0,32
Knight,,MID,129,73.6%,5.5,4.5,2,6.6,9,441,65.9%,26.2,710,1.31,0.36,0.37,0.14,401,11,249,0%,0%,0,2
Knighter,,MID,30,70%,5.5,5.3,2.3,7.4,9.2,457,67.7%,28.3,733,0.97,0.37,0.17,0.13,276,6,56,6.7%,6.7%,0,6
Kofte,,MID,66,63.6%,4.8,3.9,2,5.8,9.4,447,64.9%,25.2,668,1.18,0.44,0.2,0.16,398,8,211,13.6%,4.5%,0,22
Krempita,,MID,1,0%,0.3,0,4,1,6.2,280,100%,19.2,214,0.43,0.29,0,0,-2432,-52,-1447,0%,0%,0,-
Krest,,MID,1,100%,5,1,1,4,9.1,409,35.7%,23.5,412,1.3,0.41,0.17,0.07,-516,-1,-109,0%,0%,0,-
Kuroneel,,MID,38,36.8%,3.2,4.6,3.3,6.1,8.1,413,67.2%,29.3,725,0.91,0.32,0.16,0.08,-292,-3,20,13.2%,5.3%,0,25
Kyeahoo,,MID,91,37.4%,3.5,2.7,2.2,5,9.1,406,69.3%,28.8,644,1.18,0.43,0.26,0.19,-80,-2,-121,17.6%,13.2%,0,15
